Depth Value,Status,Assignee,Due Date,Status Text,Roll up children's status,Name,Description,Success Criteria,Shared
1,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Phase 0: Sign up For Trial,,,false
1.1,Not Started,Not Assigned,No due date,,false,Sign Up for a Datadog Account,Sign Up for a Datadog Account ( https://www.datadoghq.com/ ),,false
1.2,Not Started,Not Assigned,No due date,,false,Get API Key For Agent Installation,Get API Key For Agent Installation ( https://app.datadoghq.com/organization-settings/api-keys ),Successfully retrieve API Key,false
2,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Phase 1: Set up and Data Collection,,,false
2.1,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Infrastructure,,,false
2.1.1,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Host Based Agent - Linux,,,false
2.1.1.1,Not Started,Not Assigned,No due date,,false,Deploy Datadog Agent,Deploy Datadog Agent ( https://docs.datadoghq.com/agent/basic_agent_usage/linux/ ),,false
2.1.1.10,Not Started,Not Assigned,No due date,,false,(Debug) Verify outbound traffic is allowed,Verify outbound traffic is allowed ( https://docs.datadoghq.com/agent/configuration/network/ ),,false
2.1.1.11,Not Started,Not Assigned,No due date,,false,(Debug) Make sure that you are sending data to the right Datadog region,(Debug) Make sure that you are sending data to the right Datadog region,,false
2.1.1.12,Not Started,Not Assigned,No due date,,false,(Debug) Add Datadog IPs to the Allowed Range,Add Datadog IPs to the Allowed Range ( https://ip-ranges.datadoghq.com/ ),,false
2.1.1.2,Not Started,Not Assigned,No due date,,false,(Recommended) Add Tags,Add Tags ( https://docs.datadoghq.com/getting_started/tagging/assigning_tags ),,false
2.1.1.3,Not Started,Not Assigned,No due date,,false,(Recommended) Enable Process Monitoring,Enable Process Monitoring ( https://docs.datadoghq.com/infrastructure/process/?tab=linuxwindows#installation ),,false
2.1.1.4,Not Started,Not Assigned,No due date,,false,(Optional) Set Datadog Region,Set Datadog Region ( https://docs.datadoghq.com/getting_started/site/ ),,false
2.1.1.5,Not Started,Not Assigned,No due date,,false,(Optional) Enable Logs,Enable Logs ( https://docs.datadoghq.com/logs/log_collection/?tab=host ),,false
2.1.1.6,Not Started,Not Assigned,No due date,,false,(Optional) Enable CNM,Enable CNM ( https://docs.datadoghq.com/network_monitoring/cloud_network_monitoring/setup ),,false
2.1.1.7,Not Started,Not Assigned,No due date,,false,(Optional) Enable Debug Mode,Enable Debug Mode ( https://docs.datadoghq.com/agent/troubleshooting/debug_mode/ ),,false
2.1.1.8,Not Started,Not Assigned,No due date,,false,(Optional) Setup Proxy Config [NO LINK NEED TO ADD],(Optional) Setup Proxy Config,,false
2.1.1.9,Not Started,Not Assigned,No due date,,false,(Debug) Set Datadog Agent to Debug,Set Datadog Agent to Debug ( https://docs.datadoghq.com/agent/troubleshooting/debug_mode/ ),,false
2.1.2,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Host Based Agent - Windows,,,false
2.1.2.1,Not Started,Not Assigned,No due date,,false,Deploy Datadog Agent,Deploy Datadog Agent ( https://docs.datadoghq.com/agent/basic_agent_usage/linux/ ),,false
2.1.2.10,Not Started,Not Assigned,No due date,,false,(Debug) Verify outbound traffic is allowed,Verify outbound traffic is allowed ( https://docs.datadoghq.com/agent/configuration/network/ ),,false
2.1.2.11,Not Started,Not Assigned,No due date,,false,(Debug) Make sure that you are sending data to the right Datadog region,(Debug) Make sure that you are sending data to the right Datadog region,,false
2.1.2.12,Not Started,Not Assigned,No due date,,false,(Debug) Add Datadog IPs to the Allowed Range,Add Datadog IPs to the Allowed Range ( https://ip-ranges.datadoghq.com/ ),,false
2.1.2.2,Not Started,Not Assigned,No due date,,false,(Recommended) Add Tags,Add Tags ( https://docs.datadoghq.com/getting_started/tagging/assigning_tags ),,false
2.1.2.3,Not Started,Not Assigned,No due date,,false,(Recommended) Enable Process Monitoring,Enable Process Monitoring ( https://docs.datadoghq.com/infrastructure/process/?tab=linuxwindows#installation ),,false
2.1.2.4,Not Started,Not Assigned,No due date,,false,(Optional) Set Datadog Region,Set Datadog Region ( https://docs.datadoghq.com/getting_started/site/ ),,false
2.1.2.5,Not Started,Not Assigned,No due date,,false,(Optional) Enable Logs,Enable Logs ( https://docs.datadoghq.com/logs/log_collection/?tab=host ),,false
2.1.2.6,Not Started,Not Assigned,No due date,,false,(Optional) Enable CNM,Enable CNM ( https://docs.datadoghq.com/network_monitoring/cloud_network_monitoring/setup ),,false
2.1.2.7,Not Started,Not Assigned,No due date,,false,(Optional) Enable Debug Mode,Enable Debug Mode ( https://docs.datadoghq.com/agent/troubleshooting/debug_mode/ ),,false
2.1.2.8,Not Started,Not Assigned,No due date,,false,(Optional) Setup Proxy Config [NO LINK NEED TO ADD],(Optional) Setup Proxy Config,,false
2.1.2.9,Not Started,Not Assigned,No due date,,false,(Debug) Set Datadog Agent to Debug,Set Datadog Agent to Debug ( https://docs.datadoghq.com/agent/troubleshooting/debug_mode/ ),,false
2.1.3,Not Started,Not Assigned,No due date,,false,On-Prem,,,false
2.1.4,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,AWS,,,false
2.1.4.1,Not Started,Not Assigned,No due date,,false,Enable AWS Integration,Enable AWS Integration ( https://docs.datadoghq.com/integrations/aws ),,false
2.1.4.2,Not Started,Not Assigned,No due date,,false,(Pick One) Deploy via Cloud Formation,Deploy via Cloud Formation ( https://docs.datadoghq.com/getting_started/integrations/aws/ ),,false
2.1.4.3,Not Started,Not Assigned,No due date,,false,(Pick one) Deploy via Terraform,Deploy via Terraform ( https://docs.datadoghq.com/integrations/guide/aws-terraform-setup/ ),,false
2.1.4.4,Not Started,Not Assigned,No due date,,false,(Informational) Agent Overhead,Agent Overhead ( https://docs.datadoghq.com/agent/basic_agent_usage/?tab=agentv6v7#agent-overhead ),,false
2.1.5,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Azure,,,false
2.1.5.1,Not Started,Not Assigned,No due date,,false,(Pick one) Enable Azure via Terraform,Enable Azure via Terraform ( https://docs.datadoghq.com/integrations/guide/azure-programmatic-management/?tab=windows ),,false
2.1.5.2,Not Started,Not Assigned,No due date,,false,(Pick One) Enable Azure via Azure CLI,Enable Azure via Azure CLI ( https://docs.datadoghq.com/integrations/guide/azure-manual-setup/?tab=azurecli ),,false
2.1.5.3,Not Started,Not Assigned,No due date,,false,(US5 - Pick One) Enable Azure Native via Terraform,Enable Azure Native via Terraform,,false
2.1.5.4,Not Started,Not Assigned,No due date,,false,(US5 - Pick One) Enable Azure Native via UI,Enable Azure Native via UI,,false
2.1.6,Not Started,Not Assigned,No due date,,false,(Pick One) Enable GCP Project,Enable GCP Project,,false
2.1.7,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,GCP,,,false
2.1.7.1,Not Started,Not Assigned,No due date,,false,(Pick One) Enable GCP Organization / Folder,Enable GCP Organization / Folder,,false
2.1.8,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Kubernetes (OpenShift),,,false
2.1.8.1,Not Started,Not Assigned,No due date,,false,(Pick One) Install Datadog via Helm,,,false
2.1.8.2,Not Started,Not Assigned,No due date,,false,(Pick One) Install Datadog via Operator,,,false
2.1.8.3,Not Started,Not Assigned,No due date,,false,Enable Log Collection,Enable Log Collection ( https://docs.datadoghq.com/agent/kubernetes/log/?tab=helm ),,false
2.1.8.4,Not Started,Not Assigned,No due date,,false,Enable Live Container Metrics,Enable Live Container Metrics ( https://docs.datadoghq.com/infrastructure/livecontainers/configuration/?tab=helm ),,false
2.1.8.5,Not Started,Not Assigned,No due date,,false,Enable Live Processes,Enable Live Processes ( https://docs.datadoghq.com/infrastructure/process/?tab=linuxwindows ),,false
